flow_id,3-tuple,down_min_len,up_slice_max,down_slice_max,top_10_bytes_ratio,down_pkt_standard_deviation,min_interval,down_slice_std,sport,dport,up_slice_std,up_slice_mean,down_bytes,bytes_ratio,flow_byte/s_raito,down_slice_mean,up_interval_std,up_bytes,sum_bytes,top_10_byte/s,min_len,pkt_ratio,flow_pkt/s_raito,down_byte/s,pkt_standard_deviation,flow_byte/s,down_max_interval,up_max_interval,up_pkt_standard_deviation,down_pkt/s,up_byte/s,up_pkt/s,top_10_time_min_interval,flow_pkt/s,down_interval_std,top_10_pkt_std,up_pkt_mean,up_max_len,max_len,up_slice_min,up_pkt_nums,tag,real_tag
192.168.202.96_192.168.21.100_33808_139_6_1331919047.3,192.168.21.100_139_6,109,1,1,0.994,115.307,0.0,0.0,33808,139,0.0,1.0,971,1.315,1.315,1.0,0.0081649658092772,1277,2248,0.0,109,1.0,1.0,2555.263,137.952,5915.789,0.26,0.05,151.304,13.158,3360.526,13.158,0.0,26.316,0.095524865872714,0.5,255.4,549,549,1,5,5,5
192.168.202.96_192.168.21.100_33811_139_6_1331920900.58,192.168.21.100_139_6,109,1,1,0.994,115.307,0.0,0.0,33811,139,0.0,1.0,971,1.315,1.315,1.0,0.0833999733546453,1277,2248,0.0,109,1.0,1.0,3236.667,137.952,7493.333,0.21,0.21,151.304,16.667,4256.667,16.667,0.0,33.333,0.0792148975887743,0.5,255.4,549,549,1,5,5,5
192.168.202.96_192.168.21.100_33960_139_6_1331918999.86,192.168.21.100_139_6,109,1,1,0.994,115.307,0.0,0.0,33960,139,0.0,1.0,971,1.315,1.315,1.0,0.0081649658092772,1277,2248,0.0,109,1.0,1.0,7469.231,137.952,17292.308,0.04,0.04,151.304,38.462,9823.077,38.462,0.0,76.923,0.0082915619758885,0.5,255.4,549,549,1,5,5,5
192.168.202.96_192.168.21.100_34012_139_6_1331920908.1,192.168.21.100_139_6,109,1,1,0.994,115.307,0.0,0.0,34012,139,0.0,1.0,971,1.315,1.315,1.0,0.0081649658092772,1277,2248,0.0,109,1.0,1.0,9710.0,137.952,22480.0,0.03,0.03,151.304,50.0,12770.0,50.0,0.0,100.0,0.0086602540378443,0.5,255.4,549,549,1,5,5,5
192.168.202.96_192.168.21.100_34051_139_6_1331919086.7,192.168.21.100_139_6,109,1,1,0.994,115.307,0.0,0.0,34051,139,0.0,1.0,971,1.315,1.315,1.0,0.0993310961716756,1277,2248,31700.0,109,1.0,1.0,2427.5,137.952,5620.0,0.25,0.25,151.304,12.5,3192.5,12.5,0.0099999904632568,25.0,0.0887059749960508,0.5,255.4,549,549,1,5,5,5
192.168.202.96_192.168.21.100_34221_139_6_1331920952.09,192.168.21.100_139_6,109,1,1,0.994,115.307,0.0,0.0,34221,139,0.0,1.0,971,1.315,1.315,1.0,0.0047140452079103,1277,2248,0.0,109,1.0,1.0,4855.0,137.952,11240.0,0.06,0.05,151.304,25.0,6385.0,25.0,0.0,50.0,0.0070710678118654,0.5,255.4,549,549,1,5,5,5
192.168.202.96_192.168.21.100_34367_139_6_1331920927.27,192.168.21.100_139_6,109,1,1,0.994,115.307,0.0,0.0,34367,139,0.0,1.0,971,1.315,1.315,1.0,0.0047140452079103,1277,2248,0.0,109,1.0,1.0,10788.889,137.952,24977.778,0.03,0.03,151.304,55.556,14188.889,55.556,0.0,111.111,0.0043301270189221,0.5,255.4,549,549,1,5,5,5
172.16.114.169_195.115.218.108_1024_25_6_898690555.837992,195.115.218.108_25_6,73,1,1,0.788,19.404,0.00021493434906,0.0,1024,25,0.0,1.0,764,1.387,1.387,1.0,0.0003688697451525,1060,1824,22750.0,60,0.875,0.875,17767.442,128.96,42418.605,0.002093,0.001844,183.136,186.047,24651.163,162.791,0.0002340078353881,348.837,0.0004744093403614,19.544820285692065,151.42857142857142,599,599,1,7,6,6
172.16.114.169_196.227.33.189_1025_25_6_898690556.900974,196.227.33.189_25_6,73,1,1,0.788,19.261,0.0002219676971435,0.0,1025,25,0.0,1.0,760,1.391,1.391,1.0,0.0003636879003883,1057,1817,180600.0,60,0.875,0.875,95000.0,129.052,227125.0,0.002026,0.00178,183.28,1000.0,132125.0,875.0,0.0002299547195434,1875.0,0.0004661246852744,19.354844354837887,151.0,599,599,1,7,6,6
172.16.113.84_195.115.218.108_1026_25_6_898690631.106768,195.115.218.108_25_6,73,1,1,0.788,19.404,0.0002208948135375,0.0,1026,25,0.0,1.0,764,1.541,1.541,1.0,0.0048381271657762,1177,1941,17500.0,60,0.875,0.875,13642.857,157.892,34660.714,0.002312,0.014069,224.002,142.857,21017.857,125.0,0.000230073928833,267.857,0.0005577693669131,19.544820285692065,168.14285714285714,716,716,1,7,6,6
172.16.113.84_196.227.33.189_1027_25_6_898690632.190557,196.227.33.189_25_6,73,1,1,0.788,19.261,0.0002220869064331,0.0,1027,25,0.0,1.0,760,1.545,1.545,1.0,0.0004353702128329,1174,1934,150500.0,60,0.875,0.875,84444.444,157.99,214888.889,0.002262,0.001986,224.152,888.889,130444.444,777.778,0.0002329349517822,1666.667,0.0005508853480232,19.354844354837887,167.71428571428572,716,716,1,7,6,6
172.16.112.149_195.115.218.108_1028_25_6_898690638.980132,195.115.218.108_25_6,73,1,1,0.79,19.558,0.0002130270004272,0.0,1028,25,0.0,1.0,764,1.257,1.257,1.0,0.0074406178656226,960,1724,15982.456,60,0.875,0.875,12733.333,104.086,28733.333,0.021138,0.02105,147.829,133.333,16000.0,116.667,0.0002360343933105,250.0,0.0074867888903647,19.567575220246376,137.14285714285714,498,498,1,7,6,6
